,texto,polaridad
424,También el área donde mi unidad se rompió) .- No me gusta mucho la correa magnética.,negativo
113,"), y algunas veces fue tan embarazoso que tuve que apartar la mirada.",negativo
177,"El ambiente es moderno y moderno, manteniendo un toque de comodidad.",positivo
842,Esta película es posiblemente una de las obras de terror más creativas de la historia.,positivo
441,"Pero la trama complicada simplemente no me convenció, y gran parte de la película se vio con una mirada extraña y cuestionadora.",negativo
426,Esta es una pizza muy buena y soy un experto / experto en el tema.,positivo
109,Hice esto para el cargador de coche y no funciona.,negativo
846,Usado y sucio.,negativo
703,Nuestro camarero era muy agradable y atento al igual que el otro personal de servicio.,positivo
352,"Cómodo, buen rango, buena duración de la batería.",positivo
504,Llevo gafas y me queda bien con ellas.,positivo
479,Me gustaría devolverlo.,negativo
18,"Este lugar no vale la pena su tiempo, y mucho menos Vegas.",negativo
856,"Fuimos en hora feliz, una gran lista de vinos.",positivo
57,No mucho marisco y como 5 cuerdas de pasta en el fondo.,negativo
421,"¡Esta película es excelente! ¡Angel es hermoso y Scamp es adorable! Su pequeño grito cuando tiene miedo, y las partes más divertidas son cuando: Scamp está atrapado bajo la cortina y cuando Angel y Scamp están cantando 'Nunca he tenido este sentimiento antes'. Recomiendo totalmente esta película, que saldrá en una edición especial el 20 de junio. La portada tiene un rastro en un bote de basura y un ángel debajo de la tapa.",positivo
890,"El altavoz es de baja calidad, por lo que los tonos de llamada suenan muy baratos.",negativo
833,"Mi padre tiene el V265, y la batería se está muriendo.",negativo
731,Ryan's Bar es definitivamente un establecimiento de Edimburgo que no volveré a visitar.,negativo
728,Muy agradable y relajante tarde por la noche viendo.,positivo
157,¡Tuve que salir del teatro por unos minutos para obtener un poco de alivio!,negativo
828,No funciona,negativo
380,Gran dispositivo manos libres.,positivo
893,El peor tailandés de todos los tiempos.,negativo
922,He visto telenovelas más inteligentes que esta película.,negativo
461,"El helado de vainilla era cremoso y suave, mientras que la masa de profiterol (choux) era lo suficientemente fresca.",positivo
815,Puedo decir que los postres eran deliciosos.,positivo
987,El teléfono se cae fácilmente.,negativo
93,No había nada creíble al respecto en absoluto.,negativo
63,"Compra un teléfono diferente, pero no esto.",negativo
276,Perdí mi poco dinero con este auricular.,negativo
628,¡Pensé que Errol Flynn era brillante como Custer y desde entonces se ha convertido en mi actor favorito!,positivo
714,No vale la pena.,negativo
655,También gran dirección y fotografía.,positivo
984,"En general, Ha Long Bay fue un poco fracasado.",negativo
794,"El acceso a internet estaba bien, es el caso raro que funcionó.",negativo
997,El artículo no coincide con la imagen.,negativo
689,Funciona bien.,positivo
610,"! .... ¡LOS PROPIETARIOS REALMENTE necesitan dejar de ser tan baratos, déjalos envolver mi maldito emparedado en dos papeles, no en uno!",negativo
203,Gran lugar brunch.,positivo
208,"Otra cosa que realmente no me gustó es que cuando un personaje recibió un puñetazo en la cara, un galón de sangre brotaría poco después.",negativo
277,Muy buen teléfono.,positivo
966,"sin embargo, mi chica se quejó de que alguna vez el teléfono no se despierta como lo hace el teléfono normal.",negativo
782,Treo y T-Mobile se negaron a reemplazarlo nuevamente y me obligaron a comprar otro teléfono sin ningún tipo de descuento por actualización.,negativo
929,Experiencia decepcionante.,negativo
80,Venir aquí es como experimentar una relación decepcionante en la que ambas partes no pueden esperar a que la otra persona le pida que rompa.,negativo
991,Los fanáticos del género estarán en el cielo.,positivo
117,He tenido mejor ambiente.,negativo
748,"Soy un gran fan de esta serie debido principalmente al estilo, las sensibilidades y los tratamientos de Anne Rice.",positivo
569,"De acuerdo, me considero una crítica justa, así que daré crédito donde se debe el crédito: los efectos de las criaturas fueron realmente geniales.",positivo
921,Este lugar es asqueroso!,negativo
362,"Todo, desde la actuación hasta la cinematografía, fue sólido.",positivo
667,Y el chef fue generoso con su tiempo (incluso llegó alrededor de dos veces para que podamos tomar fotos con él).,positivo
327,"Podrían servirlo solo con la vinagreta y puede hacer un mejor plato en general, pero aún así fue muy bueno.",positivo
618,"Un clásico instantáneo, con una gran banda sonora y una canción pegadiza durante los créditos finales.",positivo
153,¡Ninguna trama en absoluto!,negativo
836,Muchos agujeros en la trama: no hay nada sobre cómo se convirtió en el emperador	 Nada de donde pasó 20 años entre su infancia y su edad madura.,negativo
370,"Voy a conducir, y mi auricular comienza a sonar sin ninguna razón.",negativo
321,Hay un brillante giro final.,positivo
259,Ideal para usar con el estéreo de tu hogar.,positivo
978,Vomité en el baño a medio almuerzo.,negativo
493,Míralo.,positivo
662,"Sin embargo, Paul Schrader ha hecho una película sobre Mishima que es a la vez excelente y compleja.",positivo
305,Lo recibí rápidamente y funciona muy bien !!,positivo
144,"Una bonita manta de moz sobre la parte superior, pero siento que esto se hizo para cubrir la comida insatisfactoria.",positivo
822,Me encanta que pongan su comida en bonitos recipientes de plástico en lugar de meterla en pequeñas cajas de papel para llevar.,positivo
864,Los guiones de la sutil comedia no tienen parangón con ninguna película en los últimos años.,positivo
129,El auricular BT fue una decepción.,negativo
542,"Si bien aún no escuchas a Mickey hablar, hay un montón de efectos de sonido y música a lo largo de la película, algo que damos por sentado ahora, pero que en 1928 complació a la multitud.",positivo
940,La historia también es divertida y conmovedora a veces.,positivo
368,Sentí como si su viaje a Irlanda no hiciera absolutamente nada.,negativo
242,"Para entonces, nuestro lado del restaurante estaba casi vacío, así que no había excusa.",negativo
197,Nunca he sido más insultado o sentí una falta de respeto.,negativo
99,"Si está buscando una película con un elenco excelente, buena música (incluida una versión de Shirley Jones de The Way You Look Tonight) y un final alentador, pruébelo.",positivo
725,Buena comida y servicio increíble!,positivo
67,Se siente más cómodo que la mayoría de los audífonos porque uso gafas y eso interfiere a veces.,positivo
405,Izquierda muy frustrado.,negativo
126,Básicamente el servicio fue muy malo.,negativo
314,"Buena comida por el precio, que es de muy alta calidad y hecho en casa.",positivo
505,Alrededor de diez minutos en esta película comencé a tener dudas.,negativo
531,Este lugar es dos pulgares arriba ... muy arriba.,positivo
151,"Además, es un verdadero placer ver a Anthony Quinn jugando a Crazy Horse.",positivo
943,No es bueno en ningún sentido de la imaginación.,negativo
883,ADVERTENCIA - NO COMPRAR !!.,negativo
373,"Personalizarán su pedido de la forma que desee, mi habitual es la berenjena con salteado de frijoles verdes, ¡me encanta!",positivo
996,El apetito se ha ido al instante.,negativo
201,La comida era estupenda y el servicio también!,positivo
528,¡Lo que sea que haya provocado tal documental me supera!,negativo
165,NADIE se identifica con estos personajes porque todos son recortes de cartón y estereotipos (o estereotipos previsiblemente previsibles).,negativo
475,"Tercero, el queso en la hamburguesa de mi amigo estaba frío.",negativo
849,"Mal día o no, tengo una tolerancia muy baja para la gente malintencionada de servicio al cliente, ¡es su trabajo ser amable y educado, lavar los platos de otra manera!",negativo
525,"Del mismo modo, el repartidor no dijo ni una palabra de disculpa cuando nuestra comida llegó 45 minutos tarde.",negativo
509,"Como se señaló en una revisión anterior, conecte este cargador y no pasa nada.",negativo
305,¡Esta corporación codiciosa NUNCA verá otro centavo de mí!,negativo
211,"Durante aproximadamente 10 minutos, estamos esperando su ensalada cuando nos dimos cuenta de que no llegaría pronto.",negativo
383,"Después de probar muchos dispositivos de manos libres, este es el que finalmente funciona bien.",positivo
535,Todo lo que necesitó fue una gota de aproximadamente 6 pulgadas por encima del mostrador de la cocina y estaba agrietado. No estoy impresionado y no me estoy riendo.,negativo
533,Así que básicamente tiré mi dinero por la ventana para nada.,negativo
742,No funciona la mayor parte del tiempo con mi Nokia 5320.,negativo
28,La gente no podía escucharme hablar y tuve que sacar el auricular y hablar por teléfono.,negativo
823,Lucho por encontrar algo malo que decir al respecto.,positivo
759,Esta escena es muy fuerte y desagradable.,negativo
963,"El diálogo de la película es natural, real a la vida.",positivo
686,Esto es sólo una gran película.,positivo
637,"Este bar de sushi demostró que estaba equivocado, no solo porque la calidad es excelente, sino que el servicio es rápido y la comida, impecable.",positivo
613,Me sorprendió la rápida llegada de las dos baterías de teléfonos celulares LG originales y por una fracción del precio.,positivo
996,"Desafortunadamente, cualquier virtud en el trabajo de producción de esta película se perdió en un guión lamentable.",negativo
927,También le llevó una eternidad llevarnos el cheque cuando lo pedimos.,negativo
363,"mal ajuste, demasiado grande.",negativo
377,Este es un teléfono MUY promedio con mala duración de batería que funciona en una red débil.,negativo
504,"Destaca su cinematografía, que incluye hermosas vistas de Barcelona y sus famosas torres de Gaudí.",positivo
75,Me encanta este producto.,positivo
968,Hemos recibido un servicio mucho mejor en la pizzería de al lado que los servicios que recibimos de este restaurante.,negativo
365,Esta película tiene una vanguardia.,positivo
385,La peor parte de la mierda junto con el servicio al cliente de Verizon.,negativo
621,"Un guión sutil y maduro que sugiere y ocasionalmente enfoca dramáticamente las tensiones subyacentes está bien acompañado por actuaciones perfectas (aparte de la extraña sonrisa inapropiada que Keira Knightley es propensa, aunque tal vez esté bajo dirección esta vez, como los otros personajes lo mencionan a menudo ).",positivo
610,No funciona en Europa o Asia.,negativo
895,No hay escenas de muerte como en películas anteriores y los f / x son terribles.,negativo
413,Te puedo asegurar que no te decepcionará.,positivo
634,"No solo el software hizo un gran trabajo, sino que también pude hacer mis propios tonos de llamada de mis CD existentes sin conexión a Internet.",positivo
326,No te decepcionará.,positivo
873,Todo lo que dice el capitán Howdy es ridículo o simplemente estúpido.,negativo
361,"Mucho más interesante, más acción, más suspenso y menos de la controversia innecesaria.",positivo
42,Bonito auricular a un precio justo.,positivo
149,"Después de 3 meses, la pantalla se volvió negra de repente.",negativo
39,El servicio apesta.,negativo
616,Producto pobre.,negativo
693,Te aconsejo que lo cuides.,positivo
730,"Este producto es genial ... hace que el trabajo sea mucho más fácil, puedo ir a la copiadora mientras estoy esperando algo.",positivo
806,Podría comer su bruschetta todo el día es divino.,positivo
251,La cinematografía -si se puede llamar así- chupó.,negativo
608,Hicimos el viaje desde North Scottsdale ... ¡y no me decepcionó ni un poco!,positivo
539,No vería esta película otra vez gratis.,negativo
118,Un poco de aplauso se debe dar al preludio sin embargo.,positivo
335,Era una película muy superficial y me dio la sensación de que estaba viendo una obra de teatro en lugar de una película.,negativo
561,La película es terriblemente aburrida en algunos lugares.,negativo
796,Ella lleva bien la película.,positivo
642,Apenas hay un momento aburrido en la película y hay muchas partes cómicas.,positivo
299,La vida de la batería aún no es lo suficientemente larga en el Motorola Razor V3i.,negativo
971,El estilo artístico tiene la apariencia de dibujos con crayones / lápices y es maravillosamente colorido y fantasioso.,positivo
342,Es muy educativo para niños de 1 a 8 años.,positivo
781,El extranjero no vale ni un segundo de tu tiempo.,negativo
482,"Me encantó esta película	 era una gran representación de una familia que tenía muchas subidas y bajadas, pero al final supieron que tenían un amor especial el uno por el otro.",positivo
74,"Hoy vi la película y pensé que era un buen esfuerzo, buenos mensajes para los niños.",negativo
157,¡Este artículo es fantástico y funciona perfectamente!,positivo
738,El diseño es muy bueno.,positivo
468,"Me encantan las margaritas, también!",positivo
91,"Es como una fiesta realmente sexy en tu boca, donde estás coqueteando con la mejor persona de la fiesta.",positivo
947,"De lo contrario, fácil de instalar y utilizar, sonido claro.",positivo
12,"Si los dos estaban separados por apenas 5 pies, empecé a notar un exceso de sonido estático y distorsionado en el auricular.",negativo
444,"Bela Lugosi era totalmente extraña, entonando extrañas líneas.",negativo
744,"Si te gusta un zumbido fuerte para anular todas tus conversaciones, ¡este teléfono es para ti!",negativo
894,"La historia es escasa, no interesante y NUNCA explica realmente los orígenes siniestros de los títeres.",negativo
686,Las instrucciones no explicaban que se pudiera usar un conector de micrófono.,negativo
629,"El personal siempre es super amable y servicial, lo cual es especialmente bueno cuando traes a dos niños pequeños y un bebé.",positivo
758,La calidad del sonido es excelente también.,positivo
323,Pude hacer marcación por voz en el coche sin ningún problema.,positivo
973,Producto malísimo.,negativo
973,La comida no era buena.,negativo
20,No se me ocurre ninguna otra película en la que ocurra algo de vital importancia cada dos minutos. 1,positivo
333,"Cabe cómodamente en cualquiera de los dos oídos, el sonido es claro y fuerte, y la carga dura un par de días.",positivo
794,"Mi cuñado que trabaja en el centro comercial comió aquí el mismo día, y adivina qué estuvo enfermo toda la noche también.",negativo
703,"Los resultados, bueno, son una vergüenza.",negativo
49,"Mi ensalada griega con el aderezo griego era muy sabrosa, y la pita y el hummus eran muy refrescantes.",positivo
221,Hay las fallas lógicas habituales de Hitchcock.,negativo
13,Muy buena calidad aunque,positivo
350,Nos sentamos otros diez minutos y finalmente nos rendimos y nos fuimos.,negativo
611,el hecho de recortar esto en tu cinturón definitivamente te hará sentir como si estuvieses subiendo y bajando 50 centavos.,positivo
489,Esto hace que el teléfono se atasque en el volumen máximo o en silencio.,negativo
557,"Comencemos con todos los problemas: la actuación, especialmente del profesor principal, fue muy, muy mala.",negativo
340,El espagueti no es nada especial en absoluto.,negativo
91,El problema era el guión.,negativo
951,Muy decepcionado con esta empresa.,negativo
677,Realmente horrible.,negativo
345,"He dejado caer mi teléfono más veces de las que puedo decir, incluso en concreto y mi teléfono sigue siendo excelente (¡toque madera!).",positivo
306,En un lugar más maravilloso se encuentra una historia de contraste.,positivo
728,Tiene todo lo que necesito y no podría pedir más.,positivo
820,"Angus Scrimm también se desempeña bien en un papel breve pero memorable como el anatomista violento y amenazador, el doctor Quinn.",positivo
953,No me cobró por mí.,negativo
275,"Las actuaciones son reales y apasionantes, el cocodrilo está extremadamente bien hecho, de hecho, si se cree que el sitio web de Black Water se debe a que utilizaron cocodrilos reales y la ubicación del pantano es fabulosa.",positivo
309,"Pero cuando alguien se esfuerza por alcanzar la grandeza y la poesía, pero presenta una historia confusa (y, a menudo, ridícula), un montón de escenas dispares, diálogos pretenciosos ... Entonces obtienes el peor tipo de película que otro crítico definió con precisión como una mierda pretenciosa .",negativo
77,Las batatas fritas eran muy buenas y bien condimentadas.,positivo
315,"Así que para nuestro disfrute, podemos verlos correr, jugar juegos y ser peligrosos.",positivo
267,Es un gran artículo.,positivo
757,Este es uno de los mejores thrillers italianos de principios de los 70's.,positivo
316,Incluso tiene sus momentos dulces.,positivo
585,"Se siente mal construido, los menús son difíciles de navegar y los botones están tan hundidos que es difícil presionarlos.",negativo
52,Un teclado utilizable en realidad convierte un PDA en una máquina útil en el mundo real en lugar de ser un simple artilugio.,positivo
228,He tenido este teléfono por más de un año y te diré que no es tan bueno.,negativo
795,"Tan bueno que voy a tener que revisar este lugar dos veces, una vez aquí un homenaje al lugar y una vez como homenaje a un evento que se celebró aquí anoche.",positivo
651,Gran lugar para relajarse y tener una hamburguesa y una cerveza increíble.,positivo
492,Pero esta película realmente me afectó.,positivo
648,Buena comida.,positivo
360,Esta es una de las mejores películas que muestran un fuerte vínculo entre hermanos.,positivo
351,¡Fue terrible!,negativo
434,Absolutamente fantástico.,positivo
229,"Estaba totalmente fascinado por la música, el baile ... todo.",positivo
124,Hace el trabajo hecho,positivo
475,El diálogo está compuesto por cosas que tienen poco sentido.,negativo
924,"Sin embargo, había tanto ajo en la fondue que apenas era comestible.",negativo
37,"Mal servicio, el camarero me hizo sentir como una estúpida cada vez que venía a la mesa.",negativo
207,He tenido esto por casi 2 años y ha funcionado muy bien para mí.,positivo
774,También la música de Mark Snow es posiblemente la mejor partitura que he escuchado.,positivo
432,"En resumen, esto fue un desperdicio monumental de tiempo y energía y no recomendaría a nadie que VEA esta película.",negativo
692,Esta es una de las películas más accesibles de Peter Watkins.,positivo
75,El plato de vieira es bastante atroz por su valor también.,negativo
611,Revisé este lugar hace un par de años y no me impresionó.,negativo
654,"El cargador llegó dentro del plazo prometido, pero no funcionó.",negativo
936,Seguí atrapando el cable en el asiento y tuve que sacar el teléfono para apagarlo.,negativo
6,Desperdiciado dos horas,negativo
420,"Por lo que me dijeron mis compañeros de la cena ... todo estaba muy fresco, con una textura y un sabor agradables.",positivo
898,La mejor parte de la enfermera Betty es su imprevisibilidad.,positivo
861,"El resultado es un logro poderoso, hecho más oportuno ahora tal vez debido a la fascinante fascinación de nuestra cultura por la celebridad, y sus interpretaciones distorsionadas de la fama.",positivo
567,"Genial, fue un nuevo paquete, funciona bien, no hay problemas y llegó en menos tiempo de lo que esperaba !!!!",positivo
809,"La primera vez que vine aquí tuve una experiencia increíble, todavía le digo a la gente lo increíble que fue el pato.",positivo
138,En mi casa me estaban dejando la cobertura arriba y no tenía cobertura en mi sótano.,negativo
535,Un excelente restaurante nuevo por un francés experimentado.,positivo
862,Una película que no se olvida fácilmente.,positivo
238,Los pobres actores.,negativo
601,"Nos sentamos bastante rápido, pero terminamos esperando 40 minutos para hacer nuestro pedido, otros 30 minutos antes de que llegara la comida.",negativo
7,Las papas eran como caucho y se notaba que se habían preparado antes de tiempo y que se mantenían debajo de un calentador.,negativo
377,"En una parte interesante de la ciudad, este lugar es increíble.",positivo
258,Ellos saben cómo hacerlos aquí.,positivo
264,El marisco era fresco y generoso en la porción.,positivo
92,Fue horrible.,negativo
301,"Por favor, manténgase alejado de los fideos salteados de camarón.",negativo
207,La peor experiencia de todas.,negativo
534,Gran caso y precio!,positivo
924,Realmente terrible.,negativo
122,Estoy muy satisfecho con mi compra.,positivo
780,Lamento haber hecho esta compra.,negativo
353,Le daría a esta serie de televisión un 10 más si pudiera.,positivo
583,"Toca más fuerte que cualquier otro altavoz de este tamaño	 el precio es tan bajo que la mayoría pensaría que la calidad es deficiente, sin embargo, no lo es.",positivo
415,"Como europeo, la película es un bonito recuerdo de mi época como estudiante en la década de 1980 y de las experiencias que tuve viviendo en el extranjero e interactuando con otras nacionalidades, aunque las circunstancias fueron ligeramente diferentes.",positivo
792,"La película tiene buen ritmo, es discreta y es uno de los mejores documentales de la corte que he visto.",positivo
583,¡Sus filetes son 100% recomendados!,positivo
974,"Si no se ha atragantado con su propio vómito al final (por todo el drama barato y el diálogo sin valor), debe haberse aburrido hasta la muerte con esta pérdida de tiempo.",negativo
702,He estado yendo desde 2007 y cada comida ha sido increíble!,positivo
996,Qué pedazo de chatarra ... Pierdo más llamadas en este teléfono.,negativo
703,Ligero y funciona bien.,positivo
614,Omitir viendo esto.,negativo
552,Tan malo ... bueno ... es simplemente malo.,negativo
741,Estaba muy frito.,negativo
919,Lo que DEBERÍA haber sido una cena de Nochebuena hilarante y deliciosa para recordar fue el mayor fracaso de todo el viaje para nosotros.,negativo
53,Este teléfono es bastante resistente y nunca he tenido grandes problemas con él.,positivo
155,Este teléfono es muy rápido con el envío de cualquier tipo de mensajes y la navegación web es significativamente más rápida que los teléfonos anteriores que he usado.,positivo
988,Realmente es impresionante que el lugar no haya cerrado.,negativo
424,"Este espectáculo está hecho para estadounidenses, es demasiado estúpido y lleno de odio y clichés para ser admitido en otro lugar.",negativo
145,Recibí este teléfono por recomendación de un familiar y me alegro de haberlo hecho.,positivo
300,Enviándolo de vuelta.,negativo
763,Pero el servicio fue más que malo.,negativo
163,No creo que alguna vez haya ido a ver una película y me haya disgustado tanto.,negativo
793,Compré esta batería con un cupón de Amazon y estoy muy feliz con mi compra.,positivo
613,"Lo siento, no voy a recibir comida de aquí pronto :(",negativo
790,"Cuando recibí mi Pita era enorme, tenía mucha carne, así que aplaude allí.",positivo
171,Gracias por malgastar mi dinero.,negativo
889,"No sé qué pasó en la quinta temporada, qué desastre.",negativo
847,Servicio muy poco fiable de T-mobile!,negativo
843,No volveré,negativo
297,Y sus conexiones sutiles entre las tres películas son impresionantes.,positivo
118,Un poco difícil de desordenar un bistec pero lo hicieron.,negativo
152,¡Era tan aburrido!,negativo
808,"Cuando una canción podría explicar mejor las emociones de los sujetos, como cuando la desafortunada vida de Jay Adams fue tema de conversación, se interpretó la canción Old Man de Neil Young, que evoca muchas emociones.",positivo
186,¿Defecto de diseño?.,negativo
48,"Pero sea lo que sea lo que les costó tanto, no se tradujo en calidad, eso es seguro. 0",negativo
103,"Era demasiado predecible, incluso para una película para chicas.",negativo
356,¡Ahora sabes por qué le di un 10+!,positivo
412,"Para el servicio, no les doy estrellas.",negativo
110,"La calidad del sonido en ambos extremos es excelente, ¡uso auriculares para llamar a mi esposa y le pido a mi esposa que use auriculares para llamarme! 2.",positivo
888,En serio asesino chai latte caliente.,positivo
21,"La comida, increíble.",positivo
173,Los cargadores y las puntas de iGo son realmente geniales.,positivo
248,La iluminación es lo suficientemente oscura como para establecer el estado de ánimo.,positivo
269,Me encanta este auricular!,positivo
587,No hay ninguna trama aquí para mantenerte en marcha en primer lugar.,negativo
439,"Si no lo encuentra, lástima, ya que nuevamente la unidad viene con un solo auricular. No lo recomendaría a nadie.",negativo
335,Gran servicio y comida.,positivo
753,"Barato, pero bueno, funcionó ... Me sorprendió gratamente dado el bajo costo de este artículo.",positivo
375,Los mejores tacos de la ciudad por mucho !!,positivo
113,"Agradable, picante y tierno.",positivo
872,"En general, un excelente restaurante destacado por un excelente servicio, un menú único y un hermoso entorno.",positivo
268,¡Tan bueno como cuando lo tuve hace más de un año!,positivo
795,Estaba claro que ella tenía el alcance y la capacidad para llevar a cabo esta parte.,positivo
711,Lame sería la mejor manera de describirlo.,negativo
291,Simplemente no sé por qué eran tan lentos.,negativo
928,Paolo Sorrentino ha escrito una maravillosa historia sobre la soledad y Tony ha creado uno de los personajes más inolvidables que se han visto en las películas en los últimos años.,positivo
192,"Cuando mi pedido llegó, faltaba uno de los giroscopios.",negativo
513,Este es probablemente el espectáculo más irritante que he visto en toda mi vida.,negativo
6,Honestamente no sabía tan fresco.),negativo
286,Las cosas que salieron mal: - Quemaron los saganaki.,negativo
734,Es una de las películas que necesito ver cada vez que aparece en la televisión ... ¡no importa el hecho de que ya lo tengo memorizado!,positivo
964,"El escritor, Gorman Bechard, sin duda hizo su tarea porque todas las referencias son apropiadas para la industria y el carácter.",positivo
588,"Solo lo usé dos días, y no siempre fue fácil escuchar con eso.",negativo
270,"No solo drenará su reproductor, sino que también puede freírlo.",negativo
258,"En general, esta película fue basura barata.",negativo
902,El buffet en Bellagio estaba lejos de lo que anticipé.,negativo
655,El arroz frito también estaba seco.,negativo
995,Creo que la comida debería tener sabor y textura y faltaban ambos.,negativo
142,No estaba contento con este artículo.,negativo
68,Conseguimos la comida y al parecer nunca han oído hablar de sal y la masa del pescado era masticable.,negativo
396,"Usando todos los auriculares, izquierdo o derecho, esta cosa no se quedará en mi oído.",negativo
569,¡Es una pieza de mierda!,negativo
615,La lengua de vaca y los tacos de mejilla son increíbles.,positivo
565,Resultados decepcionantes.,negativo
430,Auriculares fantásticos.,positivo
459,Teléfono horrible.,negativo
549,Mi novio y yo vinimos aquí por primera vez en un viaje reciente a Las Vegas y no podríamos haber estado más satisfechos con la calidad de la comida y el servicio.,positivo
498,Su monstruo pollo frito bistec y huevos es mi favorito de todos los tiempos.,positivo
676,No puedo esperar a regresar.,positivo
521,"Si no has ido aquí, ve ahora!",positivo
481,"Y, FINALMENTE, después de todo eso, llegamos a un final que hubiera sido genial si hubiera sido manejado por personas competentes y no por Jerry Falwell.",negativo
844,¡No podíamos creer lo sucias que estaban las ostras!,negativo
428,ES REALMENTE FÁCIL.,positivo
399,La buena fotografía también hace que ella y Monica Bellucci se vean muy hermosas.,positivo
364,Definitivamente no fue tan bueno como mi S11.,positivo
311,Pidió un panecillo inglés tostado que salió sin tostar.,negativo
923,buen teléfono,positivo
294,Es uno de mis directores favoritos y uno de los directores más talentosos de la historia del cine.,positivo
788,"Es una gran herramienta para el entretenimiento, la comunicación y la administración de datos. ¡Oh, asegúrese de usar ActiveSync 4.2 para obtener resultados óptimos de sincronización de datos!",positivo
366,Mi esposa tenía la sopa de sopa de langosta que estaba tibia.,negativo
771,"Todos los actores brindan una maravillosa actuación, especialmente Jennifer Rubin como Jamie Harris, quien se transformó de la estrella nerviosa al principio a través de los eventos extraños de los que es parte en la estrella fría.",positivo
944,"Sin embargo, después de ver finalmente esta película, me di cuenta de que no solo tenía la mente cerrada ante el brillo que representa, sino que también me encontraba observándola una y otra vez.",positivo
240,Horrible - no pierdas tu tiempo y dinero.,negativo
53,Tienen actitudes horribles hacia los clientes y hablan de ellos cuando los clientes no disfrutan de su comida.,negativo
507,Mi giróscopo era básicamente lechuga solamente.,negativo
885,Tuve unos dos bocados y me negué a comer más.,negativo
425,"Casi todas las personas involucradas deben regresar a la escuela, actuar es totalmente predecible y malo, el guión es un montón de basura durante todo el año.",negativo
431,Nos encantaron las galletas !!!,positivo
20,"Entré en el sitio web de Motorola y seguí todas las instrucciones, pero no pude volver a sincronizar.",negativo
601,"El verdadero asesino es el volumen, y por supuesto se está rompiendo.",negativo
983,"Seguro que supera a los nachos en el cine, pero yo esperaría un poco más de un restaurante.",negativo
905,"Además, siento que las fichas se compran, no se hacen en casa.",negativo
985,"Había tanto entusiasmo por este teléfono que asumí que era el mejor, mi error.",negativo
117,"Luego, la escena en la que debatieron si despedir o no al trompetista (quien fue acusado falsamente por el asesinato) es un horror puro, realmente estúpido.",negativo
582,"Si buscas comida tailandesa auténtica, ve a otro lado.",negativo
194,No estoy realmente seguro de cómo los lectores de Phoenix Magazine votaron a Joey's como el mejor perro caliente en el valle.,negativo
34,Se incluyen el cargador para el automóvil y el cargador de CA para asegurarse de que nunca se quede sin jugo. Muy recomendable,positivo
213,"El rango es muy bueno, he podido deambular por mi casa con el teléfono en la sala de estar sin problemas de calidad de sonido / recepción.",positivo
698,No hace falta decir que nunca volveremos aquí de nuevo.,negativo
550,"Realmente recomiendo este lugar, puedes equivocarte con este lugar de donas!",positivo
812,"Este lugar es demasiado caro, no es coherente con su boba, ¡y realmente es EXCESIVADO!",negativo
320,También estoy muy contento con el precio.,positivo
734,Hemos intentado 2 unidades y ambas fallaron en 2 meses .. Pros,negativo
720,Así es como describiría esta dolorosa y triste pérdida de tiempo de una película.,negativo
346,La recepción es terrible y estática.,negativo
750,"Es liviano, tiene una gran capacidad de batería y es muy cómodo de usar durante períodos de tiempo un tanto prolongados.",positivo
994,No puedo decirte lo decepcionada que estaba.,negativo
871,"Este es el peor sushi que he comido, además de Costco's.",negativo
238,"Si ella no hubiera puesto los ojos en blanco, podríamos habernos quedado ... No estoy seguro de si volveremos y lo intentaremos de nuevo.",negativo
213,Ray Charles es legendario.,positivo
404,Hoy fue la primera vez que probé un perrito caliente Buldogis Gourmet y tengo que decirles que fue más de lo que creí posible.,positivo
288,Muy mal.,negativo
545,Sólo lo suficientemente picante ... Perfecto en realidad.,positivo
467,"Esto se debió al hecho de que tardaron 20 minutos en ser reconocidos, luego otros 35 minutos en conseguir nuestra comida ... y siguieron olvidando cosas.",negativo
566,Diseño engorroso.,negativo
501,"Prefiero comer comida de avión, en serio.",negativo
784,"Las cadenas, de las que no soy fan, vencieron fácilmente a este lugar.",negativo
618,Ellos realmente quieren hacer que tu experiencia sea buena.,positivo
771,"Plástico MUY barato, cruje como un viejo suelo de madera.",negativo
867,"Para sushi en el Strip, este es el lugar para ir.",positivo
674,Luego tuve que seguir emparejándolo periódicamente ya que de alguna manera seguía cayendo.,negativo
367,"Los nuevos personajes no eran tan memorables, y me encontré olvidando quién era quién.",negativo
538,Peor martini jamás!,negativo
848,Muchos agujeros en el guión.,negativo
730,"La comida era apenas tibia, por lo que debe haber estado sentada esperando que el servidor nos la trajera.",negativo
811,"El servicio fue terrible, aunque.",negativo
112,"La película fue tan aburrida, que a veces me encontré ocupada en el papel en lugar de verla (¡nunca sucedió durante una película de Columbo!",negativo
624,"La premisa básica se desperdicia, ya que está marginada por el enfoque inexplicable en el equipo documental.",negativo
216,Empapados y no buenos.,negativo
856,"Es tonto y sin sentido, y una completa pérdida de tiempo.",negativo
829,Muy buen producto.,positivo
969,"En un momento en el que parece que la animación cinematográfica ha sido dominada por las obras maestras CGI de Disney / Pixar, es reconfortante saber que Miyazaki aún confía en la animación tradicional dibujada a mano para contar sus encantadoras y encantadoras historias.",positivo
282,Esperé y esperé.,negativo
298,¡Nunca más volveré a cenar en este lugar!,negativo
265,La duración de la batería es muy buena.,positivo
